child,parent,colour,sex,dob
PALGRAVE WILLOW OF FINDPOINT,FT CH PARPHEA TIDE,BLACK,Male,10 September 1985
ANNA BLONDIE,DEE OF THE COTTAGE AT PARPHEA,YELLOW,Female,03 January 1983
BIRDBROOK QUINTON,DEE OF THE COTTAGE AT PARPHEA,BLACK,Male,12 June 1987
PALGRAVE HETTY,ANNA BLONDIE,BLACK,Female,01 February 1976
BLACKHARN STEEL,ANNA BLONDIE,YELLOW,Male,19 May 1978
FT CH SWINBROOK TAN,BLACKHARN STEEL,?,Male,01 January 0001
BLACKHARN PUDDIE,BLACKHARN STEEL,BLACK,Female,24 August 1973
FT CH PURDEY OF BONHOTE OF BIRDBROOK,BIRDBROOK QUINTON,BLACK,Female,06 July 1983
BIRDBROOK SHADOW,BIRDBROOK QUINTON,BLACK,Male,15 April 1979
THE LADY OF NEW PATH,BIRDBROOK SHADOW,BLACK,Female,06 May 1976
FT CH STORM OF NESSLAND,BIRDBROOK SHADOW,BLACK,Male,22 July 1977
IVYLAND TESA,THE LADY OF NEW PATH,?,Female,01 January 0001
SANDRINGHAM MARTIN,THE LADY OF NEW PATH,?,Male,01 January 0001
SANDRINGHAM PIPPIT,SANDRINGHAM MARTIN,?,Female,01 January 0001
SANDRINGHAM SKID,SANDRINGHAM MARTIN,?,Male,01 January 0001
FT CH SWINBROOK TAN,FT CH STORM OF NESSLAND,?,Male,01 January 0001
GALLOWMILL BEE,FT CH STORM OF NESSLAND,BLACK,Female,18 June 1971
FT CH SENDHURST SWEEP,GALLOWMILL BEE,?,Male,01 January 0001
SPUDTAMSONS KENNEL MAID,GALLOWMILL BEE,?,Female,01 January 0001
PALGRAVE QUEENIE,PALGRAVE WILLOW OF FINDPOINT,BLACK,Female,08 March 1982
PALGRAVE ROCK OF HAMBROOK,PALGRAVE WILLOW OF FINDPOINT,BLACK,Male,19 February 1980
FT CH PALGRAVE HOLLY,PALGRAVE QUEENIE,BLACK,Female,01 February 1976
FT CH SHOT OF PALGRAVE,PALGRAVE QUEENIE,BLACK,Male,26 May 1974
FT CH PALGRAVE SWINBROOK FERN,PALGRAVE ROCK OF HAMBROOK,?,Female,01 January 0001
FT CH HEDENHAMPARK DASH OF PHILRAY,PALGRAVE ROCK OF HAMBROOK,BLACK,Male,01 July 1973
DARGDAFFIN CANDY,FT CH DARGDAFFIN DYNAMO,YELLOW,Female,23 July 1990
FT CH TASCO BROOM-TIP OF CARNOCHWAY,FT CH DARGDAFFIN DYNAMO,YELLOW,Male,20 March 1991
FT CH MILLBUIES DUST LAD,DARGDAFFIN CANDY,YELLOW,Male,15 May 1982
DARGDAFFIN ANNA,DARGDAFFIN CANDY,YELLOW,Female,02 July 1985
MALWELL JUNE OF DARGDAFFIN,DARGDAFFIN ANNA,YELLOW,Female,15 June 1983
LOPI DARG DAFFIN,DARGDAFFIN ANNA,YELLOW,Male,16 April 1974
DRAKESHEAD IVY OF MALWELL,MALWELL JUNE OF DARGDAFFIN,?,Female,27 May 1980
FT CH KELVINHEAD MAGNUM,MALWELL JUNE OF DARGDAFFIN,BLACK,Male,01 March 1976
BRACKEN DARG DAFFIN,LOPI DARG DAFFIN,YELLOW,Female,12 May 1970
FT CH SANDRINGHAM SYDNEY,LOPI DARG DAFFIN,YELLOW,Male,14 May 1970
FT CH IR FT CH HEATHERBANK ALEX OF TASCO,FT CH TASCO BROOM-TIP OF CARNOCHWAY,YELLOW,Male,18 July 1989
TASCO YELLOW SALLY,FT CH TASCO BROOM-TIP OF CARNOCHWAY,YELLOW,Female,11 May 1986
FT CH SHINSHAIL APACHE,TASCO YELLOW SALLY,BLACK,Male,12 May 1978
SWINBROOK STONEFLY,TASCO YELLOW SALLY,BLACK,Female,19 May 1979
FLASHMOUNT TWISTER,FLASHMOUNT FALL,YELLOW,Female,10 May 1997
FLASHMOUNT QUIVER,FLASHMOUNT FALL,BLACK,Male,13 April 1992
VINTAGE SPICE,FLASHMOUNT TWISTER,YELLOW,Female,16 December 1994
FLASHMOUNT FROST,FLASHMOUNT TWISTER,YELLOW,Male,24 April 1989
STYLESIDE SORREL,VINTAGE SPICE,BLACK,Female,27 August 1986
FLASHMOUNT TEAK,VINTAGE SPICE,YELLOW,Male,07 April 1993
BERYN BLACK CHERRY,STYLESIDE SORREL,BLACK,Female,30 August 1980
STYLESIDE THISTLE,STYLESIDE SORREL,BLACK,Male,14 May 1978
FT CH SWINBROOK TWIG,FLASHMOUNT TEAK,BLACK,Male,08 May 1984
FT CH FLASHMOUNT LARCH,FLASHMOUNT TEAK,YELLOW,Female,12 May 1987
FLASHMOUNT GYPSY,FLASHMOUNT FROST,BLACK,Female,11 May 1981
NEWTONS HELMAR,FLASHMOUNT FROST,BLACK,Male,24 October 1985
CRESTHAVEN JEMMA,NEWTONS HELMAR,BLACK,Female,29 September 1982
BELWAY TEAL,NEWTONS HELMAR,BLACK,Male,04 February 1980
MIRSTAN EROS,CRESTHAVEN JEMMA,?,Male,21 July 1980
CRESTHAVEN GREER,CRESTHAVEN JEMMA,?,Female,20 May 1980
FT CH SWINBROOK TAN,CRESTHAVEN GREER,?,Male,01 January 0001
SHANE OF CRESTHAVEN,CRESTHAVEN GREER,?,Female,16 May 1979
FT CH DRAKESHEAD TINKER,SHANE OF CRESTHAVEN,?,Male,01 January 0001
KIRKMOOR MOSS,SHANE OF CRESTHAVEN,?,Female,01 January 0001
FT CH SWINBROOK TAN,KIRKMOOR MOSS,?,Male,01 January 0001
BELWAY BRIAR,BELWAY TEAL,BLACK,Female,15 June 1976
SANDRINGHAM FLIGHT,BELWAY TEAL,?,Male,01 January 0001
FT CH HOLDGATE WILLIE,BELWAY BRIAR,BLACK,Male,06 June 1969
BELWAY ROSA,BELWAY BRIAR,?,Female,01 January 0001
RACEDALE BLACK DIAMOND,BELWAY ROSA,?,Male,01 January 0001
SANDRINGHAM PIPPIT,SANDRINGHAM FLIGHT,?,Female,01 January 0001
FT CH HEDENHAMPARK DASH OF PHILRAY,SANDRINGHAM FLIGHT,BLACK,Male,01 July 1973
FT CH FLASHMOUNT LARCH,FLASHMOUNT QUIVER,YELLOW,Female,12 May 1987
FT CH COTTISMOR ACCORD,FLASHMOUNT QUIVER,BLACK,Male,02 June 1988
FT CH SHINSHAIL APACHE,FT CH COTTISMOR ACCORD,BLACK,Male,12 May 1978
LUMSBANK BRAMBLE,FT CH COTTISMOR ACCORD,BLACK,Female,22 March 1984
FT CH DRAKESHEAD TINKER,LUMSBANK BRAMBLE,?,Male,01 January 0001
WT CH CLEVEDALE FAWN OF LUMSBANK,LUMSBANK BRAMBLE,BLACK,Female,30 April 1980
FT CH WESTEAD SHOT OF DRAKESHEAD,WT CH CLEVEDALE FAWN OF LUMSBANK,BLACK,Male,26 July 1974
SANDRINGHAM TICKLER,WT CH CLEVEDALE FAWN OF LUMSBANK,?,Female,01 January 0001
SANDRINGHAM TILLY,SANDRINGHAM TICKLER,?,Female,01 January 0001
FT CH AUGHACASLA SAM OF DRAKESHEAD (IKC),FT CH TASCO ROUBLE OF BEDGEBROOK,BLACK,Male,19 May 1993
TASCO RED KITE,FT CH TASCO ROUBLE OF BEDGEBROOK,YELLOW,Female,24 May 1996
TREO'S SHENA OF TASCO (IKC),TASCO RED KITE,BLACK,Female,15 March 1990
TASCO GREEN DRAKE,TASCO RED KITE,BLACK,Male,11 May 1986
TREO'S DEBORAH,TREO'S SHENA OF TASCO (IKC),BLACK,Female,14 May 1983
IR FT CH ANN OF CLEARY,TREO'S DEBORAH,?,Female,02 April 1979
FT CH TASCO SPINNER,TREO'S DEBORAH,?,Male,15 May 1980
FT CH HOLDGATE WILLIE,FT CH TASCO SPINNER,BLACK,Male,06 June 1969
FT CH SWINBROOK BUMBLE,FT CH TASCO SPINNER,BLACK,Female,19 April 1973
FT CH SHINSHAIL APACHE,TASCO GREEN DRAKE,BLACK,Male,12 May 1978
SWINBROOK STONEFLY,TASCO GREEN DRAKE,BLACK,Female,19 May 1979
FT CH GLENPATRICK EVE,FT CH LEVENGHYL PEACOCK,BLACK,Female,29 April 1999
FT CH STRAD BENIS,FT CH LEVENGHYL PEACOCK,BLACK,Male,27 February 1990
FT CH GLENPATRICK HALO,FT CH GLENPATRICK EVE,BLACK,Female,19 July 1993
FT CH GARENDON CAPTAIN,FT CH GLENPATRICK EVE,BLACK,Male,23 January 1994
FT CH POCKLEA REMUS,FT CH GLENPATRICK HALO,BLACK,Male,11 May 1986
GLENPATRICK GUSTO,FT CH GLENPATRICK HALO,BLACK,Female,06 July 1985
TARRYHOLME FIRECRACKER,GLENPATRICK GUSTO,BLACK,Female,14 June 1981
FT CH BLACKTHORN BRIAR,GLENPATRICK GUSTO,YELLOW,Male,23 March 1981
FT CH KELVINHEAD MAGNUM,TARRYHOLME FIRECRACKER,BLACK,Male,01 March 1976
BEAUTY BLACK,TARRYHOLME FIRECRACKER,?,Female,28 August 1978
CRACKER BLACK,BEAUTY BLACK,?,Female,01 January 0001
GLENBURNIE RANGER,BEAUTY BLACK,BLACK,Male,16 February 1974
GLENBURNIE FERN,CRACKER BLACK,?,Female,01 January 0001
FT CH HOLDGATE WILLIE,GLENBURNIE RANGER,BLACK,Male,06 June 1969
SPUDTAMSONS BETH,GLENBURNIE RANGER,BLACK,Female,08 April 1970
FT CH GLENFARG DANTE,SPUDTAMSONS BETH,?,Male,01 January 0001
GLENWHASK BELL,FT CH BLACKTHORN BRIAR,?,Female,01 January 0001
KNOWEBAR GILLIE BRIAR,FT CH BLACKTHORN BRIAR,YELLOW,Male,11 July 1976
REDSIDE MONA,GLENWHASK BELL,?,Female,01 January 0001
SPUDTAMSON'S DONIBRISTLE,GLENWHASK BELL,?,Male,01 January 0001
LINKEY-LEA SHONA,REDSIDE MONA,?,Female,01 January 0001
WOODSTAIN SPORT,REDSIDE MONA,?,Male,01 January 0001
FT CH GLENFARG DANTE,SPUDTAMSON'S DONIBRISTLE,?,Male,01 January 0001
DELUXE OF KNOWEBAR,KNOWEBAR GILLIE BRIAR,?,Female,01 January 0001
KNOWEBAR BEECH BOY,KNOWEBAR GILLIE BRIAR,YELLOW,Male,23 October 1974
AMANDA'S HOLD,DELUXE OF KNOWEBAR,?,Female,01 January 0001
CAMILLE OF GILBEG,KNOWEBAR BEECH BOY,?,Female,01 January 0001
REANACRE MAJOR,KNOWEBAR BEECH BOY,?,Male,01 January 0001
CH SANDYLANDS TANDY,CAMILLE OF GILBEG,?,Male,01 January 0001
REANACRE TRUDY,REANACRE MAJOR,?,Female,01 January 0001
REANACRE WILKAMAUR CAVALCADE,REANACRE MAJOR,?,Male,01 January 0001
FT CH SWINBROOK TWIG,FT CH GARENDON CAPTAIN,BLACK,Male,08 May 1984
FT CH MUNRO TESS,FT CH GARENDON CAPTAIN,BLACK,Female,12 May 1989
SHADDEN DALE,FT CH MUNRO TESS,BLACK,Female,20 May 1984
FT CH BARNAVARA CHUB,FT CH MUNRO TESS,BLACK,Male,25 May 1985
FT CH KELVINHEAD MAGNUM,SHADDEN DALE,BLACK,Male,01 March 1976
FT CH SPARTAN LADY,SHADDEN DALE,BLACK,Female,19 May 1981
MOY OF TRENTLOCK,FT CH SPARTAN LADY,?,Female,01 January 0001
PALGRAVE KITE,FT CH SPARTAN LADY,BLACK,Male,05 May 1978
ALLUETTA OF TRENTLOCK,MOY OF TRENTLOCK,?,Female,01 January 0001
RUMBLETON BECK,MOY OF TRENTLOCK,?,Male,01 January 0001
JERICHO JINGO,ALLUETTA OF TRENTLOCK,?,Male,01 January 0001
FT CH TRENTLOCK BLUEY,ALLUETTA OF TRENTLOCK,?,Female,01 January 0001
GLENFARG SKYE,FT CH TRENTLOCK BLUEY,?,Female,01 January 0001
RACEDALE DUSK,FT CH TRENTLOCK BLUEY,?,Male,01 January 0001
FT CH SANDRINGHAM SYDNEY,RUMBLETON BECK,YELLOW,Male,14 May 1970
CRAIGHORN DAWN,RUMBLETON BECK,?,Female,01 January 0001
FT CH PALGRAVE SWINBROOK FERN,PALGRAVE KITE,?,Female,01 January 0001
FT CH SHOT OF PALGRAVE,PALGRAVE KITE,BLACK,Male,26 May 1974
FT CH BARNAVARA MINNOW,FT CH BARNAVARA CHUB,BLACK,Female,08 May 1979
POCKLEA TINKER,FT CH BARNAVARA CHUB,BLACK,Male,19 July 1983
DRAKESHEAD GYPSY,POCKLEA TINKER,BLACK,Female,24 March 1980
FT CH POCKLINGTON GLEN,POCKLEA TINKER,BLACK,Male,02 June 1978
FT CH TASCO DANCING BRAVE OF WILLOWYCK,FT CH STRAD BENIS,BLACK,Male,11 May 1986
MATHDE GEM,FT CH STRAD BENIS,BLACK,Female,19 April 1986
BONNIE LADY OF PENYBONT,MATHDE GEM,BLACK,Female,04 July 1982
HARETOR PEDWAR,MATHDE GEM,BLACK,Male,24 May 1984
JETICA OF BITEABOUT,BONNIE LADY OF PENYBONT,BLACK,Female,03 April 1979
GARLETON BEECH,BONNIE LADY OF PENYBONT,?,Male,18 March 1980
LADY SWALE,JETICA OF BITEABOUT,?,Female,01 January 0001
SANDRINGHAM TRAMP,JETICA OF BITEABOUT,BLACK,Male,17 January 1978
WHISPERING SPIRIT,LADY SWALE,?,Female,01 January 0001
STOBBHILL JET BLACK DIAMOND,LADY SWALE,BLACK,Male,12 October 1968
HONEY OF BIRDALE,WHISPERING SPIRIT,?,Female,01 January 0001
HARLIS CREAM BRANDY,WHISPERING SPIRIT,?,Male,01 January 0001
OXTON ARINA,STOBBHILL JET BLACK DIAMOND,?,Female,01 January 0001
WIGHILL WENDY,OXTON ARINA,?,Female,01 January 0001
WIGHILL WAGTAIL,OXTON ARINA,?,Male,01 January 0001
FT CH SWINBROOK TAN,SANDRINGHAM TRAMP,?,Male,01 January 0001
SANDRINGHAM DIPPER,SANDRINGHAM TRAMP,BLACK,Female,02 April 1974
HEDENHAMPARK MALLARD,SANDRINGHAM DIPPER,BLACK,Male,13 April 1971
FT CH SANDRINGHAM SLIPPER,SANDRINGHAM DIPPER,BLACK,Female,18 April 1966
FT CH GLENFARG SKID,FT CH SANDRINGHAM SLIPPER,?,Male,01 January 0001
FT CH EYEBROOK RORY,GARLETON BEECH,?,Male,01 January 0001
FT CH BLAKEMERE MEGA OF GARLETON,GARLETON BEECH,BLACK,Female,30 April 1976
FT CH HOLDGATE WILLIE,FT CH BLAKEMERE MEGA OF GARLETON,BLACK,Male,06 June 1969
BLAKEMERE ASTRIX,FT CH BLAKEMERE MEGA OF GARLETON,BLACK,Female,12 May 1972
FT CH PALGRAVE EDWARD,BLAKEMERE ASTRIX,?,Male,01 January 0001
GHILLIE'S CAMA OF BLAKEMERE,BLAKEMERE ASTRIX,BLACK,Female,17 February 1969
FT CH DRAKESHEAD ACTOR OF SHOTGATE,HARETOR PEDWAR,BLACK,Male,18 April 1977
HARETOR HOLLY,HARETOR PEDWAR,BLACK,Female,24 May 1982
FT CH SWINBROOK TAN,HARETOR HOLLY,?,Male,01 January 0001
TREHERNE SWALLOW OF HARETOR,HARETOR HOLLY,?,Female,19 January 1978
FT CH DRAKESHEAD TREACLE,FT CH DRAKESHEAD INDIANA,BLACK,Female,16 April 1998
FT CH MINSTEAD MORSE,FT CH DRAKESHEAD INDIANA,BLACK,Male,16 March 1996
FT CH MIDDLEGATE DEXTER OF DRAKESHEAD,FT CH DRAKESHEAD TREACLE,BLACK,Male,09 August 1989
FT CH DRAKESHEAD ABBA,FT CH DRAKESHEAD TREACLE,YELLOW,Female,02 January 1995
SHAVINGTON BETSY OF DRAKESHEAD,FT CH DRAKESHEAD ABBA,BLACK,Female,12 March 1992
FT CH RAUGHLIN PETE OF DRAKESHEAD,FT CH DRAKESHEAD ABBA,YELLOW,Male,23 January 1987
LUCY OF SHAVINGTON,SHAVINGTON BETSY OF DRAKESHEAD,BLACK,Female,27 April 1987
JACK OF POOLHEAD,SHAVINGTON BETSY OF DRAKESHEAD,BLACK,Male,27 May 1988
LEACROSS LUCY,LUCY OF SHAVINGTON,BLACK,Female,02 April 1981
BOBBY OF SHAVINGTON,LUCY OF SHAVINGTON,?,Male,22 January 1979
BONNIE OF BROOKLYN,LEACROSS LUCY,BLACK,Female,18 March 1978
SANDRINGHAM CLOG,LEACROSS LUCY,?,Male,01 January 0001
FT CH WESTEAD SHOT OF DRAKESHEAD,BONNIE OF BROOKLYN,BLACK,Male,26 July 1974
BLACKSWEEP BEECH,BONNIE OF BROOKLYN,?,Female,01 January 0001
FT CH DRAKESHEAD SWIFT,BLACKSWEEP BEECH,BLACK,Female,20 July 1973
BICKERTON EBONY KING,BLACKSWEEP BEECH,?,Male,01 January 0001
DIPPER OF DRAKESHEAD,FT CH DRAKESHEAD SWIFT,BLACK,Female,27 August 1971
FT CH PECHASI MAX,FT CH DRAKESHEAD SWIFT,?,Male,01 January 0001
STAINDROP EBONY,BICKERTON EBONY KING,?,Female,01 January 0001
TRIPWIRE JASON,BICKERTON EBONY KING,?,Male,01 January 0001
ROCKSTEAD FOOTSWISH,SANDRINGHAM CLOG,?,Male,01 January 0001
FT CH SANDRINGHAM SLIPPER,SANDRINGHAM CLOG,BLACK,Female,18 April 1966
BEEHIVE DUSTY,BOBBY OF SHAVINGTON,BLACK,Female,09 September 1974
TITTENLEY KIM,BOBBY OF SHAVINGTON,?,Male,01 January 0001
SAUCHIEBURN STYLE,BEEHIVE DUSTY,?,Female,01 January 0001
SYDNEY OF SAUCHIEBURN,BEEHIVE DUSTY,?,Male,01 January 0001
SILLYFIATT CIS,SYDNEY OF SAUCHIEBURN,?,Female,01 January 0001
SAUCHIEBURN SANDY,SYDNEY OF SAUCHIEBURN,?,Male,01 January 0001
FT CH RURO SWAGMAN,SILLYFIATT CIS,?,Male,01 January 0001
SAUCHIEBURN SHEPP,SAUCHIEBURN SANDY,?,Female,01 January 0001
SAUCHIEBURN SPRUCE,SAUCHIEBURN SANDY,?,Male,01 January 0001
ROCKSTEAD FOOTSWISH,TITTENLEY KIM,?,Male,01 January 0001
FT CH SHAVINGTON JERICHO JANE,TITTENLEY KIM,?,Female,01 January 0001
FT CH PALGRAVE QUIN,JACK OF POOLHEAD,BLACK,Male,08 March 1982
JORDANSLODGE SOLA,JACK OF POOLHEAD,BLACK,Female,16 June 1984
JORDANS SOLITAIRE,JORDANSLODGE SOLA,BLACK,Female,28 January 1976
LEA CROSS JODY,JORDANSLODGE SOLA,?,Male,01 January 0001
JORDANS ROYAL FLUSH,JORDANS SOLITAIRE,?,Female,01 January 0001
ROCKDEE PRINCE,JORDANS SOLITAIRE,?,Male,01 January 0001
HELEN OF SPARTEN,JORDANS ROYAL FLUSH,?,Female,01 January 0001
SWINBROOK DAN,JORDANS ROYAL FLUSH,?,Male,01 January 0001
ROCK PRINCESS,ROCKDEE PRINCE,?,Female,01 January 0001
OSSYADEE,ROCKDEE PRINCE,?,Male,01 January 0001
FT CH SWINBROOK TAN,LEA CROSS JODY,?,Male,01 January 0001
FT CH ANGELTOWN'S BLACK SAPHIRE,LEA CROSS JODY,?,Female,01 January 0001
FT CH GLENCOIN DRUMMER OF DRAKESHEAD,FT CH RAUGHLIN PETE OF DRAKESHEAD,YELLOW,Male,09 March 1978
IR FT CH RAUGHLIN ROSE,FT CH RAUGHLIN PETE OF DRAKESHEAD,BLACK,Female,30 April 1980
SALTBARROW MAIDEN,FT CH MINSTEAD MORSE,BLACK,Female,04 May 1992
WHISTLESTOP SCAMP,FT CH MINSTEAD MORSE,BLACK,Male,28 June 1988
SALT BARROW GAEL,SALTBARROW MAIDEN,BLACK,Female,19 May 1987
JAZ OF KELSALL,SALTBARROW MAIDEN,BLACK,Male,05 December 1990
DORMOUSE INCA,SALT BARROW GAEL,BLACK,Female,18 January 1982
LEA CROSS JERRY,SALT BARROW GAEL,BLACK,Male,25 March 1977
ROMARLETON LADY,DORMOUSE INCA,?,Female,19 April 1979
DAVY OF ORCHARDTON,DORMOUSE INCA,?,Male,01 January 0001
SLOPPY DATE,ROMARLETON LADY,?,Female,01 January 0001
HILLFOREST DIPPER,ROMARLETON LADY,?,Male,01 January 0001
GLENFARG DINAH,HILLFOREST DIPPER,?,Female,01 January 0001
HILLFOREST JIMMY,HILLFOREST DIPPER,?,Male,01 January 0001
FT CH WESTEAD SHOT OF DRAKESHEAD,DAVY OF ORCHARDTON,BLACK,Male,26 July 1974
VENMETH VIX,DAVY OF ORCHARDTON,?,Female,01 January 0001
WELSTON WEAVER,VENMETH VIX,BLACK,Male,01 February 1971
FT CH BURNHATCH LEADER,VENMETH VIX,?,Female,01 January 0001
BURNHATCH COMPTONDENE SAM,FT CH BURNHATCH LEADER,?,Male,01 January 0001
FT CH SWINBROOK TAN,LEA CROSS JERRY,?,Male,01 January 0001
CEFNPERFA CLEO,LEA CROSS JERRY,BLACK,Female,03 January 1973
FT CH HOLDGATE WILLIE,CEFNPERFA CLEO,BLACK,Male,06 June 1969
STAINDROP WREN,CEFNPERFA CLEO,?,Female,01 January 0001
JAKE OF SNOWDELL,STAINDROP WREN,?,Male,01 January 0001
FT CH POCKLEA REMUS,JAZ OF KELSALL,BLACK,Male,11 May 1986
CALCUTTA ROSE,JAZ OF KELSALL,BLACK,Female,15 May 1986
RUN AROUND SHEBA,CALCUTTA ROSE,?,Female,25 January 1980
FT CH GLENCOIN DIGGER OF SADDLEWORTH,CALCUTTA ROSE,YELLOW,Male,09 March 1978
NEILDEN CEDAR,RUN AROUND SHEBA,?,Female,01 January 0001
GUNSTOCK FENDRAKE,RUN AROUND SHEBA,BLACK,Male,18 July 1973
GUNSTOCK FLAWNOG BARBERRY,NEILDEN CEDAR,?,Female,01 January 0001
FT CH GUNSTOCK TEAL,NEILDEN CEDAR,BLACK,Male,16 March 1974
FT CH SWINBROOK TAN,FT CH GUNSTOCK TEAL,?,Male,01 January 0001
FT CH ANGELTOWN'S BLACK SAPHIRE,FT CH GUNSTOCK TEAL,?,Female,01 January 0001
FT CH GUNSTOCK LISLEHOLME BLACK BUN,GUNSTOCK FENDRAKE,BLACK,Female,07 March 1971
GUNSTOCK BLACK SAMBO,GUNSTOCK FENDRAKE,?,Male,01 January 0001
ERYRI POOLSTEAD PIRATE,FT CH GUNSTOCK LISLEHOLME BLACK BUN,?,Male,01 January 0001
CH SANDYLANDS TANDY,ERYRI POOLSTEAD PIRATE,?,Male,01 January 0001
CH POOLSTEAD POWDER PUFF,ERYRI POOLSTEAD PIRATE,?,Female,01 January 0001
MELODY OF EVARTA,GUNSTOCK BLACK SAMBO,?,Female,01 January 0001
RIPPLESTONE PANTHER,GUNSTOCK BLACK SAMBO,?,Male,01 January 0001
GLENCOIN DAFFODIL,FT CH GLENCOIN DIGGER OF SADDLEWORTH,YELLOW,Female,24 April 1976
DRAKESHEAD TASKER,FT CH GLENCOIN DIGGER OF SADDLEWORTH,YELLOW,Male,20 February 1975
FT CH SWINBROOK TWIG,WHISTLESTOP SCAMP,BLACK,Male,08 May 1984
BLACK MOLL OF WAPSAC,WHISTLESTOP SCAMP,BLACK,Female,23 April 1985
FT CH PALGRAVE QUIN,BLACK MOLL OF WAPSAC,BLACK,Male,08 March 1982
POOL OVER WONDER,BLACK MOLL OF WAPSAC,YELLOW,Female,02 January 1983
FT CH DRAKESHEAD TINKER,POOL OVER WONDER,?,Male,01 January 0001
BRAKEN FERN,POOL OVER WONDER,?,Female,13 September 1978
FT CH WESTEAD SHOT OF DRAKESHEAD,BRAKEN FERN,BLACK,Male,26 July 1974
HALKMOOR TARA,BRAKEN FERN,BLACK,Female,26 February 1975
FT CH HOLDGATE WILLIE,HALKMOOR TARA,BLACK,Male,06 June 1969
SKELDYKE ROCK ROSE,HALKMOOR TARA,BLACK,Female,24 May 1972
FT CH LEVENGHYL SILVERCLOUD OF DRAKESHEAD,DRAKESHEAD VINCE,BLACK,Female,23 July 2006
FT CH DIPPLELODGE RAVEN OF RIVERSWAY,DRAKESHEAD VINCE,BLACK,Male,14 June 2001
FT CH GLENPATRICK EVE,FT CH LEVENGHYL SILVERCLOUD OF DRAKESHEAD,BLACK,Female,29 April 1999
FT CH POCKLEA ADDER,FT CH LEVENGHYL SILVERCLOUD OF DRAKESHEAD,BLACK,Male,04 April 2000
FT CH POCKLEA REMUS,FT CH POCKLEA ADDER,BLACK,Male,11 May 1986
POCKLEA NETTLE,FT CH POCKLEA ADDER,YELLOW,Female,13 April 1995
FT CH AUGHACASLA SAM OF DRAKESHEAD (IKC),POCKLEA NETTLE,BLACK,Male,19 May 1993
MIDDLEGATE DASH,POCKLEA NETTLE,BLACK,Female,09 August 1989
FT CH HARETOR MARK OF DRAKESHEAD,MIDDLEGATE DASH,BLACK,Male,04 August 1983
FT CH POCKLEA TIDE OF MIDDLEGATE,MIDDLEGATE DASH,BLACK,Female,22 April 1985
DOLBRENIN SIAN,FT CH DIPPLELODGE RAVEN OF RIVERSWAY,BLACK,Female,19 March 1996
FT CH ENDACOTT SOAMES OF RIVERSWAY,FT CH DIPPLELODGE RAVEN OF RIVERSWAY,BLACK,Male,15 April 1996
FT CH POCKLEA REMUS,DOLBRENIN SIAN,BLACK,Male,11 May 1986
CADOVER DELLA,DOLBRENIN SIAN,BLACK,Female,06 February 1994
KARA OF CADOVER,CADOVER DELLA,BLACK,Female,05 May 1988
FT CH BIRDBROOK ASTON OF BELLEVER,CADOVER DELLA,BLACK,Male,20 January 1989
ZENA OF WALKHAM,KARA OF CADOVER,BLACK,Female,27 July 1982
SANDY OF BELLEVER,KARA OF CADOVER,YELLOW,Male,28 June 1983
FT CH HARETOR ABEL OF BELLEVER,ZENA OF WALKHAM,BLACK,Male,01 July 1980
HARETOR BLACKBIRD OF NANCARROW,ZENA OF WALKHAM,BLACK,Female,25 April 1981
HARETOR SEAL,HARETOR BLACKBIRD OF NANCARROW,?,Female,01 January 0001
FT CH KENSWICK ORION OF DANBRIAS,HARETOR BLACKBIRD OF NANCARROW,?,Male,01 January 0001
HOODHILL TWEED OF HARETOR,HARETOR SEAL,?,Female,02 July 1977
LUGWARDINE JASPER,HARETOR SEAL,BLACK,Male,13 June 1968
FT CH STONNER POINT BE HOPEFUL OF KENSWICK,FT CH KENSWICK ORION OF DANBRIAS,BLACK,Female,13 April 1971
FT CH DANBRIAS BLACK TERN,FT CH KENSWICK ORION OF DANBRIAS,?,Male,01 January 0001
RESPARVA TEAL,SANDY OF BELLEVER,?,Female,01 January 0001
BALIFF OF NEWTONVALE,SANDY OF BELLEVER,BLACK,Male,08 March 1980
TRENDY OF RESPARVA,RESPARVA TEAL,?,Female,01 January 0001
TREBREOCK BENSON,RESPARVA TEAL,?,Male,01 January 0001
TWIG OF WHITEROCK,TRENDY OF RESPARVA,?,Female,01 January 0001
FT CH HOLDGATE WILLIE,TREBREOCK BENSON,BLACK,Male,06 June 1969
HOLDGATE RACEDALE OPEL,TREBREOCK BENSON,?,Female,01 January 0001
FT CH SWINBROOK TAN,BALIFF OF NEWTONVALE,?,Male,01 January 0001
SANDYPEAT WARBLER,BALIFF OF NEWTONVALE,?,Female,01 January 0001
FT CH HOLDGATE WILLIE,SANDYPEAT WARBLER,BLACK,Male,06 June 1969
SANDYPEAT GOLDER BLACKBERRY,SANDYPEAT WARBLER,?,Female,01 January 0001
FT CH PURDEY OF BONHOTE OF BIRDBROOK,FT CH BIRDBROOK ASTON OF BELLEVER,BLACK,Female,06 July 1983
FT CH TIBEA TOSH,FT CH BIRDBROOK ASTON OF BELLEVER,BLACK,Male,20 March 1986
ENDACOTT SPINDLE,FT CH ENDACOTT SOAMES OF RIVERSWAY,BLACK,Female,05 June 1993
FT CH GLENBRIAR SOLO,FT CH ENDACOTT SOAMES OF RIVERSWAY,BLACK,Male,03 March 1992
ENDACOTT'S QUEEN,ENDACOTT SPINDLE,YELLOW,Female,02 March 1990
